#   LINEAR light curves for RR Lyrae star SDSSJ015450+001501 (225 epochs) 
#   LINEAR ID = 25154736 
#   For details, see Sesar et al. 2011 (AJ 142, 190) and Sesar et al. 2013 (AJ 146, 21)
#           mjd           mag     magErr
        54732.329902    15.251     0.015
        54732.341830    15.258     0.015
        54738.289146    15.500     0.017
        54738.301429    15.487     0.017
        54738.313707    15.512     0.017
        54738.326008    15.536     0.017
        54738.338287    15.495     0.017
        54763.259072    14.608     0.007
        54763.270553    14.648     0.007
        54763.282158    14.658     0.007
        54763.293656    14.703     0.009
        54763.305326    14.720     0.009
        54768.212958    15.488     0.018
        54768.236137    15.490     0.018
        54768.247715    15.533     0.020
        54769.286232    15.260     0.015
        54769.297882    15.257     0.015
        54817.189695    15.344     0.013
        54817.202363    15.355     0.015
        54817.215042    15.098     0.133
