#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455357.8846         14.896  0.007   B  TNG
02968811   2455328.9621         14.911  0.011   B  TNG
02968811   2455103.7700		13.753  0.005   V  SRO
02968811   2455103.7809 	13.739  0.005   V  SRO
02968811   2455104.7544 	13.721  0.004   V  SRO
02968811   2455104.7653 	13.725  0.004   V  SRO
02968811   2455105.7392 	13.724  0.005   V  SRO
02968811   2455105.7500 	13.724  0.005   V  SRO
02968811   2455106.7685 	13.741  0.005   V  SRO
02968811   2455106.7793 	13.745  0.005   V  SRO
02968811   2455109.7612 	13.847  0.007   V  SRO
02968811   2455109.7720 	13.856  0.010   V  SRO
02968811   2455137.6534 	13.811  0.005   V  SRO
02968811   2455137.6643 	13.814  0.005   V  SRO
02968811   2455139.6566 	13.858  0.006   V  SRO
02968811   2455139.6675 	13.863  0.006   V  SRO
02968811   2455248.0022 	13.934  0.009   V  SRO
02968811   2455253.9769 	13.710  0.004   V  SRO
02968811   2455253.9991 	13.715  0.005   V  SRO
02968811   2455257.9718 	13.835  0.011   V  SRO
02968811   2455257.9895 	13.840  0.009   V  SRO
02968811   2455258.9710 	13.864  0.006   V  SRO
02968811   2455258.9888 	13.854  0.005   V  SRO
02968811   2455261.9710 	15.442  0.011   V  SRO
02968811   2455261.9887 	13.931  0.006   V  SRO
02968811   2455264.9695 	13.836  0.005   V  SRO
02968811   2455264.9871 	13.839  0.005   V  SRO
02968811   2455265.9656 	13.775  0.006   V  SRO
02968811   2455265.9831 	13.772  0.006   V  SRO
02968811   2455269.9620 	13.770  0.005   V  SRO
02968811   2455269.9796 	13.769  0.004   V  SRO
02968811   2455271.9591 	13.824  0.004   V  SRO
02968811   2455271.9767 	13.821  0.005   V  SRO
02968811   2455272.9582 	13.832  0.004   V  SRO
02968811   2455272.9758 	13.836  0.004   V  SRO
02968811   2455273.9619 	13.846  0.005   V  SRO
02968811   2455273.9795 	13.845  0.005   V  SRO
02968811   2455274.9588 	13.877  0.004   V  SRO
02968811   2455274.9764 	13.873  0.005   V  SRO
02968811   2455275.9582 	13.889  0.004   V  SRO
02968811   2455275.9758 	13.891  0.004   V  SRO
02968811   2455277.9536 	13.916  0.008   V  SRO
02968811   2455277.9712 	13.927  0.012   V  SRO
02968811   2455278.3725         13.966  0.005   V  LOT
02968811   2455278.3366         13.964  0.005   V  LOT
02968811   2455279.3407         13.911  0.006   V  LOT
02968811   2455385.3097         13.820  0.004   V  LOT
02968811   2455408.2671         13.997  0.003   V  LOT
02968811   2455271.3386         13.877  0.027   V  SLT
02968811   2455272.3449         13.868  0.015   V  SLT
02968811   2455273.3401         13.907  0.018   V  SLT
02968811   2455298.3153         13.799  0.013   V  SLT
02968811   2455298.3600         13.805  0.013   V  SLT
02968811   2455298.2707         13.787  0.017   V  SLT
02968811   2455299.3279         13.847  0.014   V  SLT
02968811   2455299.2854         13.799  0.024   V  SLT
02968811   2455300.2840         13.822  0.024   V  SLT
02968811   2455312.2065         13.752  0.010   V  SLT
02968811   2455317.1830         13.917  0.009   V  SLT
02968811   2455330.2269         13.878  0.007   V  SLT
02968811   2455333.3460         13.936  0.008   V  SLT
02968811   2455388.3404         13.834  0.011   V  SLT
02968811   2455390.2609         13.861  0.010   V  SLT
02968811   2455392.3086         13.902  0.010   V  SLT
02968811   2455393.3105         13.947  0.012   V  SLT
02968811   2455416.2830         13.780  0.014   V  SLT
02968811   2455421.2614         13.867  0.011   V  SLT
02968811   2455422.2518         13.955  0.011   V  SLT
02968811   2455423.2427         13.965  0.010   V  SLT
02968811   2455425.2482         14.052  0.015   V  SLT
02968811   2455428.2294         13.874  0.011   V  SLT
02968811   2455429.2273         13.826  0.017   V  SLT
02968811   2455283.0093         13.711  0.018   V  TNG
02968811   2455285.0073         13.815  0.022   V  TNG
02968811   2455286.0051         13.830  0.016   V  TNG
02968811   2455287.0054         13.858  0.020   V  TNG
02968811   2455289.0027         13.884  0.027   V  TNG
02968811   2455290.0030         13.908  0.017   V  TNG
02968811   2455291.0014         13.957  0.019   V  TNG
02968811   2455292.0011         13.913  0.020   V  TNG
02968811   2455293.0003         13.912  0.018   V  TNG
02968811   2455293.9982         13.861  0.020   V  TNG
02968811   2455294.9984         13.849  0.018   V  TNG
02968811   2455295.9876         13.827  0.015   V  TNG
02968811   2455296.9957         13.769  0.017   V  TNG
02968811   2455299.9942         13.816  0.014   V  TNG
02968811   2455300.9938         13.845  0.015   V  TNG
02968811   2455301.9920         13.870  0.016   V  TNG
02968811   2455302.9913         13.888  0.025   V  TNG
02968811   2455303.9900         13.892  0.016   V  TNG
02968811   2455304.9896         14.145  0.219   V  TNG
02968811   2455306.9879         13.948  0.014   V  TNG
02968811   2455318.9786         13.921  0.010   V  TNG
02968811   2455319.9779         13.906  0.010   V  TNG
02968811   2455320.9772         13.993  0.010   V  TNG
02968811   2455321.9771         13.994  0.008   V  TNG
02968811   2455322.9768         13.917  0.009   V  TNG
02968811   2455323.9758         13.881  0.008   V  TNG
02968811   2455324.9739         13.816  0.018   V  TNG
02968811   2455325.9718         13.748  0.007   V  TNG
02968811   2455326.9687         13.732  0.008   V  TNG
02968811   2455327.9661         13.771  0.008   V  TNG
02968811   2455329.9612         13.859  0.006   V  TNG
02968811   2455330.9592         13.858  0.006   V  TNG
02968811   2455332.9525         13.918  0.006   V  TNG
02968811   2455333.9502         13.947  0.006   V  TNG
02968811   2455334.9448         13.988  0.006   V  TNG
02968811   2455335.9429         14.002  0.007   V  TNG
02968811   2455336.9424         14.016  0.007   V  TNG
02968811   2455338.9339         13.891  0.006   V  TNG
02968811   2455339.9343         13.825  0.006   V  TNG
