#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
   183786790 28.709003  0.250410  50707.4472801 14.473  0.036  A 14.249  0.047  A 14.149  0.091  A
   183789705 28.709002  0.250369  50707.4475801 14.431  0.036  A 14.146  0.045  A 14.127  0.087  A
   183789796 28.709004  0.250350  50707.5097833 14.488  0.038  A 14.240  0.054  A 14.469  0.132  B
   183804542 28.708985  0.250385  50707.5100833 14.603  0.039  A 14.275  0.055  A 14.231  0.121  B
   183804640 28.709006  0.250378  50707.5118834 14.505  0.037  A 14.151  0.052  A 14.244  0.121  B
   183807476 28.708989  0.250363  50707.5121834 14.455  0.038  A 14.413  0.063  A 14.180  0.103  A
   183807580 28.709009  0.250361  50707.5138835 14.503  0.038  A 14.195  0.056  A 14.526  0.125  B
   183810483 28.708986  0.250346  50707.5141835 14.503  0.040  A 14.314  0.064  A 13.993  0.084  A
    10604446 28.709031  0.250374  50714.3519033 14.366  0.030  A 14.113  0.030  A 14.222  0.066  A
    10604553 28.709001  0.250381  50714.3522033 14.337  0.030  A 14.190  0.047  A 14.030  0.065  A
    10607637 28.708978  0.250391  50714.3540034 14.352  0.028  A 14.106  0.044  A 14.092  0.067  A
    10607729 28.708975  0.250389  50714.3543034 14.371  0.031  A 14.117  0.038  A 14.065  0.059  A
    10610796 28.708987  0.250384  50714.3560035 14.383  0.026  A 14.032  0.034  A 13.993  0.062  A
    10610897 28.708990  0.250349  50714.3563035 14.398  0.032  A 14.065  0.038  A 14.053  0.061  A
   186414548 28.708952  0.250375  50720.2470232 14.533  0.038  A 14.267  0.055  A 14.104  0.089  A
   186414649 28.708975  0.250355  50720.2474232 14.570  0.037  A 14.227  0.054  A 14.260  0.099  A
   186430772 28.708975  0.250401  50720.2491233 14.545  0.036  A 14.196  0.054  A 14.211  0.093  A
   186430878 28.708984  0.250399  50720.2494233 14.515  0.037  A 14.331  0.052  A 14.191  0.090  A
   186433898 28.708968  0.250380  50720.2511233 14.550  0.040  A 14.191  0.048  A 14.285  0.097  A
   186433981 28.708969  0.250377  50720.2515234 14.512  0.035  A 14.204  0.048  A 14.188  0.093  A
   186436859 28.709011  0.250416  50720.3371262 14.070  0.025  A 13.932  0.033  A 13.849  0.059  A
   186436957 28.708969  0.250359  50720.3375262 14.049  0.024  A 13.986  0.041  A 13.905  0.060  A
   186735982 28.708961  0.250380  50720.3392263 14.055  0.030  A 13.960  0.038  A 13.921  0.063  A
   186736058 28.708979  0.250409  50720.3395263 14.045  0.026  A 13.897  0.032  A 13.916  0.057  A
   186739006 28.708988  0.250377  50720.3412263 14.040  0.029  A 13.949  0.034  A 13.892  0.063  A
   186739094 28.708987  0.250404  50720.3416264 14.025  0.029  A 13.962  0.037  A 13.945  0.063  A
   186742097 28.708975  0.250390  50720.4224290 14.094  0.027  A 13.902  0.031  A 13.863  0.062  A
   186742207 28.709002  0.250390  50720.4228290 14.132  0.029  A 13.925  0.037  A 13.919  0.068  A
   186754823 28.708999  0.250366  50720.4245290 14.129  0.027  A 13.940  0.032  A 13.994  0.075  A
   186754899 28.708981  0.250392  50720.4248291 14.134  0.029  A 13.953  0.034  A 13.831  0.058  A
   186758052 28.708995  0.250372  50720.4265291 14.093  0.028  A 13.937  0.033  A 13.738  0.057  A
   186758133 28.709001  0.250366  50720.4269291 14.148  0.029  A 13.886  0.034  A 13.949  0.062  A
   186761256 28.708967  0.250378  50720.5085317 14.152  0.031  A 13.896  0.045  A 14.091  0.096  A
   186761361 28.708988  0.250372  50720.5088317 14.198  0.032  A 14.075  0.054  A 13.891  0.090  A
   186773874 28.708961  0.250388  50720.5105318 14.233  0.033  A 13.988  0.048  A 13.856  0.093  A
   186773965 28.709003  0.250369  50720.5109318 14.174  0.030  A 13.870  0.045  A 13.864  0.089  A
   186776975 28.708968  0.250375  50720.5126318 14.151  0.029  A 13.941  0.045  A 13.917  0.083  A
   186777071 28.709001  0.250384  50720.5129318 14.243  0.031  A 13.949  0.043  A 14.080  0.093  A
   184417757 28.708959  0.250344  50721.3007569 14.309  0.034  A 13.960  0.039  A 14.061  0.079  A
