#
# V1154 Cygni O-C data 
#
# HJD-2400000   E  O-C [d] weight Filter  Reference/Instrument
#

55182.2891     46  -0.0083   5      Kp    Kepler
55187.2096     47  -0.0133   5      Kp    Kepler
55192.1448     48  -0.0036   5      Kp    Kepler
55197.0733     49  -0.0005   5      Kp    Kepler
55201.9989     50  -0.0003   5      Kp    Kepler
55206.9233     51  -0.0014   5      Kp    Kepler
55211.8477     52  -0.0025   5      Kp    Kepler
55221.6953     54  -0.0058   5      Kp    Kepler
55226.6263     55  -0.0002   5      Kp    Kepler
55236.4741     57  -0.0033   5      Kp    Kepler
55241.4094     58   0.0065   5      Kp    Kepler
55246.3393     59   0.0110   5      Kp    Kepler
55251.2585     60   0.0047   5      Kp    Kepler
55256.1830     61   0.0038   5      Kp    Kepler
55261.1184     62   0.0137   5      Kp    Kepler
55266.0406     63   0.0104   5      Kp    Kepler
55270.9622     64   0.0066   5      Kp    Kepler
55330.0547     76  -0.0063   3      V	  this paper (Tenagra)
55339.9056     78  -0.0063   3      V	  this paper (Lulin)
